id,label,markets,terms,presentation,gtin,commercial_name,official_prices,product_id,type
59,000059_FG_CEFEPIME_1g/10mL_1x1g/10mL_IQ,"[""IQ""]",{},"{""box"":{""gross_weight"":{""unit"":""kg"",""value"":5.98}},""type"":""FG"",""strength"":""1g/10mL""}",,,,219675,sku
60,000060_FG_CEFEPIME_1g/3.5mL_1x1g/3.5mL_IQ,"[""IQ""]",{},"{""box"":{""gross_weight"":{""unit"":""kg"",""value"":4.88}},""type"":""FG"",""strength"":""1g/3.5mL""}",,,,219675,sku
19,000019_FG_VITAROS_3mg/g_4x100mg_BE,"[""BE"",""LU""]","{""invoiced_price"":{""amount"":39.44,""currency"":""EUR""},""order_multiples"":12,""minimum_order_quantity"":12}","{""box"":{""tare"":{""unit"":""kg"",""value"":0.392},""width"":{""unit"":""cm"",""value"":20},""height"":{""unit"":""cm"",""value"":16.7},""length"":{""unit"":""cm"",""value"":20},""gross_weight"":{""unit"":""kg"",""value"":1.019}},""pack"":{""width"":{""unit"":""cm"",""value"":6.35},""height"":{""unit"":""cm"",""value"":4.5},""length"":{""unit"":""cm"",""value"":13}},""type"":""FG"",""terms"":{""order_multiples"":12,""minimum_order_quantity"":12},""strength"":""3 mg/g"",""packs_per_box"":12,""boxes_per_epal"":120,""units_per_pack"":4,""product_weight_per_unit"":""100 mg""}",,VYTAROS,"[{""type"":""wpp"",""value"":""39.44"",""country"":""BE"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/BE/Vytaros_Price_Approval.Aug2017.pdf""},{""type"":""psp"",""value"":""52.0"",""country"":""BE"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/BE/Vytaros_Price_Approval.Aug2017.pdf""},{""type"":""wpp"",""value"":""39.44"",""country"":""LU"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/Vytaros_Price_Approval_GDL_(002).pdf""},{""type"":""ppp"",""value"":""41.62"",""country"":""LU"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/Vytaros_Price_Approval_GDL_(002).pdf""},{""type"":""psp"",""value"":""50.53"",""country"":""LU"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/Vytaros_Price_Approval_GDL_(002).pdf""}]",23647,sku
40,000040_FG_TRIACEFAN_1g/3.5mL_1x1g/3.5mL_FR,"[""FR""]",{},"{""box"":{""width"":{""unit"":""cm"",""value"":28.7},""height"":{""unit"":""cm"",""value"":18.2},""length"":{""unit"":""cm"",""value"":34},""gross_weight"":{""unit"":""kg"",""value"":4.45}},""pack"":{""width"":{""unit"":""cm"",""value"":3.15},""height"":{""unit"":""cm"",""value"":5.45},""length"":{""unit"":""cm"",""value"":8}},""type"":""FG"",""packs_per_box"":100,""boxes_per_epal"":48,""units_per_pack"":1,""product_weight_per_unit"":""1g""}",,,,219674,sku
69,000069_FG_TESTAVAN-REFILL_20mg/g_1x85.5g_FI_NO_SE,"[""FI"",""NO"",""SE""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""type"":""FG"",""packs_per_box"":48,""boxes_per_epal"":20,""product_weight_per_unit"":""85.5 g""}",,,,23646,sku
-3,[FERRING] Testavan ferring SKU,,,"{""units_per_pack"":3}",,,,23646,sku
18,000018_FG_VITAROS_3mg/g_4x100mg_AT,"[""AT""]","{""order_multiples"":12,""minimum_order_quantity"":12}","{""box"":{""tare"":{""unit"":""kg"",""value"":0.392},""width"":{""unit"":""cm"",""value"":20},""height"":{""unit"":""cm"",""value"":16.7},""length"":{""unit"":""cm"",""value"":20},""gross_weight"":{""unit"":""kg"",""value"":1.019}},""pack"":{""width"":{""unit"":""cm"",""value"":6.35},""height"":{""unit"":""cm"",""value"":4.5},""length"":{""unit"":""cm"",""value"":13}},""type"":""FG"",""terms"":{""order_multiples"":12,""minimum_order_quantity"":12},""strength"":""3 mg/g"",""packs_per_box"":12,""boxes_per_epal"":120,""units_per_pack"":4,""product_weight_per_unit"":""100 mg""}",,,,23647,sku
72,000072_FG_CEFOXITINE_2g_10x2g_VN,"[""VN""]",{},"{""box"":{""width"":{""unit"":""cm"",""value"":28},""height"":{""unit"":""cm"",""value"":29},""length"":{""unit"":""cm"",""value"":54},""gross_weight"":{""unit"":""kg"",""value"":25.83}},""pack"":{""width"":{""unit"":""cm"",""value"":5.42},""height"":{""unit"":""cm"",""value"":6.55},""length"":{""unit"":""cm"",""value"":13.3}},""type"":""FG"",""strength"":""2g"",""boxes_per_epal"":24}",,,,1277192,sku
5,000005_FG_TESTAVAN_20mg/g_1x85.5g_CZ_SK,"[""CZ"",""SK""]","{""invoiced_price"":{""amount"":715.27,""currency"":""CZK""},""order_multiples"":105,""minimum_order_quantity"":105}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""wpp"",""value"":""715.27"",""country"":""CZ"",""currency"":""CZK"",""source_url"":""https://www.sukl.eu/modules/medication/detail.php?code=0220949&tab=prices""},{""type"":""psp"",""value"":""1002.46"",""country"":""CZ"",""currency"":""CZK"",""source_url"":""https://www.sukl.eu/modules/medication/detail.php?code=0220949&tab=prices""},{""type"":""wpp"",""value"":""32.6"",""country"":""SK"",""currency"":""EUR"",""source_url"":""https://www.health.gov.sk/Clanok?zuuc-202211-lieky""}]",23646,sku
-24,[FERRING] Vitaros ferring 4 pack sku,,,"{""units_per_pack"":4}",,,,23647,sku
33,000033_FG_Ghryvelin_GB_IE,"[""GB"",""IE""]","{""order_multiples"":1,""minimum_order_quantity"":1}","{""box"":{""width"":{""unit"":""cm"",""value"":3},""height"":{""unit"":""cm"",""value"":11.3},""length"":{""unit"":""cm"",""value"":8.5}},""pack"":{""width"":{""unit"":""cm"",""value"":3},""height"":{""unit"":""cm"",""value"":11.3},""length"":{""unit"":""cm"",""value"":8.5}},""type"":""FG"",""terms"":{""order_multiples"":1,""minimum_order_quantity"":1},""strength"":""60 mg"",""packs_per_box"":1,""boxes_per_epal"":1680,""units_per_pack"":1,""product_weight_per_unit"":""31 g""}",5391512457297.0,,,23645,sku
1,000001_FG_TESTAVAN_20mg/g_1x85.5g_AT,"[""AT""]","{""invoiced_price"":{""amount"":28.87,""currency"":""EUR""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""pspexvat"",""value"":""43.9"",""country"":""AT"",""currency"":""EUR"",""source_url"":""https://www.sozialversicherung.at/cdscontent/?contentid=10007.844498&portal=svportal""}]",23646,sku
3,000003_FG_TESTAVAN_20mg/g_1x85.5g_BE,"[""BE""]","{""invoiced_price"":{""amount"":38.64,""currency"":""EUR""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,Testarzon,"[{""type"":""wpp"",""value"":""38.64"",""country"":""BE"",""currency"":""EUR"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/Price_Approval_Testarzon.Jul2018.BE.pdf""},{""type"":""psp"",""value"":""51.16"",""country"":""BE"",""currency"":""EUR"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/Price_Approval_Testarzon.Jul2018.BE.pdf""},{""type"":""wpp"",""value"":""38.64"",""country"":""LU"",""currency"":""EUR"",""source_url"":""https://cns.public.lu/en/legislations/textes-coordonnes/liste-med-comm.html""},{""type"":""ppp"",""value"":""40.82"",""country"":""LU"",""currency"":""EUR"",""source_url"":""https://cns.public.lu/en/legislations/textes-coordonnes/liste-med-comm.html""},{""type"":""psp"",""value"":""49.71"",""country"":""LU"",""currency"":""EUR"",""source_url"":""https://cns.public.lu/en/legislations/textes-coordonnes/liste-med-comm.html""}]",23646,sku
14,000014_FG_TESTAVAN_20mg/g_1x85.5g_NL,"[""NL""]","{""invoiced_price"":{""amount"":44.84,""currency"":""EUR""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""wpp"",""value"":""49.0"",""country"":""NL"",""currency"":""EUR"",""source_url"":""https://wetten.overheid.nl/BWBR0008023/2022-02-01""}]",23646,sku
26,000026_FG_TESTAVAN_20mg/g_1x85.5g_HU,"[""HU""]","{""invoiced_price"":{""amount"":25.32,""currency"":""EUR""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,TESTARZON,"[{""type"":""wpp"",""value"":""9370.0"",""country"":""HU"",""currency"":""HUF"",""source_url"":""https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fwww.neak.gov.hu%2F%2Fdata%2Fcms1031383%2FPUPHA_GYOGYSZER_LAKOSSAGI_20220601_v1.xls.xlsx&wdOrigin=BROWSELINK""},{""type"":""ppp"",""value"":""9782.28"",""country"":""HU"",""currency"":""HUF"",""source_url"":""https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fwww.neak.gov.hu%2F%2Fdata%2Fcms1031383%2FPUPHA_GYOGYSZER_LAKOSSAGI_20220601_v1.xls.xlsx&wdOrigin=BROWSELINK""},{""type"":""psp"",""value"":""11311.0"",""country"":""HU"",""currency"":""HUF"",""source_url"":""https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fwww.neak.gov.hu%2F%2Fdata%2Fcms1031383%2FPUPHA_GYOGYSZER_LAKOSSAGI_20220601_v1.xls.xlsx&wdOrigin=BROWSELINK""}]",23646,sku
-22,[FERRING] Vitaros ferring 2 pack sku,,,"{""units_per_pack"":2}",,,,23647,sku
